平均值	4.2322975604438255E-4	3.485877287300104E-4	4.2109744168523146E-4	5.767039291642782E-4	5.991271951685088E-4	5.015838317669336E-4	5.360000838205009E-4	5.286308158530396E-4	6.312325116360451E-4
SiteId	Latitude	Longitude	UserCount	MinuteCount	URICount	TotalCount	工作区	生活区	商业区	timeZone1	timeZone2	timeZone3	timeZone4	timeZone5	timeZone6
662	40.800301	111.648003	2225	7375	617	57317	3	5	1	3682	5994	15753	12184	17251	2453
1530	40.838001	111.737999	2481	7075	553	43746	1	1	1	3229	5226	13212	8920	11999	1160
49	40.275398	111.184998	1141	8168	693	63568	1	2	1	3535	5939	11433	13845	13930	14886
672	40.78157	111.669434	2163	8075	700	64158	1	1	1	4662	8222	14288	11107	13907	11972
1217	40.854571	111.658693	2131	7754	606	45931	0	3	0	3815	3753	8952	9494	10558	9359
611	40.814259	111.620171	2048	7791	655	50537	1	0	0	6468	7954	11161	10212	11723	3019
496	40.793201	111.564003	1765	7125	664	55937	1	0	1	4853	6808	17834	12500	12186	1756
602	40.808601	111.623001	1953	7675	572	44576	1	3	0	5388	7227	10194	8413	10296	3058
717	40.823498	111.637711	1786	7975	598	53074	0	4	2	4952	5846	7625	10750	13000	10901
989	40.791199	111.697998	1992	7975	556	49762	0	0	2	5891	6037	8260	7173	10290	12111
224	40.72187	111.115837	1338	7785	650	57123	0	0	1	3423	4727	8786	11911	12954	15322
1272	40.8232	111.695999	1837	8122	584	57303	1	8	4	6011	6523	9116	10616	12008	13029
1510	40.8416	111.727217	1427	7787	614	50424	0	0	2	6264	7856	12697	8682	11224	3701
625	40.780102	111.657997	1885	7806	638	53512	0	1	0	5899	5214	7856	7122	12214	15207
1506	40.8461	111.722	1323	7303	617	43543	1	3	2	4827	7418	11192	7492	10039	2575
1470	40.8256	111.733002	1546	7365	569	39860	1	3	1	5062	7184	6761	6650	10173	4030
1449	41.100201	111.453003	857	6264	525	33978	1	1	0	3582	3727	7032	6306	10128	3203
367	40.376801	111.82	917	7723	578	52240	0	1	0	4426	4661	7984	10696	11951	12522
1339	40.832001	111.695999	1458	7980	594	52793	0	4	5	7772	6159	8131	8338	10538	11855
588	40.80715	111.621088	1381	6242	557	27088	3	3	2	2857	4296	5500	5388	7088	1959
629	40.811459	111.627516	1663	7403	537	36437	2	1	1	5893	6256	7329	7198	7519	2242
604	40.822899	111.610001	1172	7450	581	53536	1	4	0	5450	5006	12836	13092	14378	2774
718	40.823502	111.637711	1266	7930	585	54599	0	4	2	5765	6503	6360	8136	11037	16798
594	40.795898	111.634003	1346	7563	640	52145	0	3	4	4847	8020	14174	11125	11571	2408
