平均值	0.004944773180524976	0.0041027223417160535	0.004282630458139406	6.360736363998734E-4	5.754344102164081E-4	6.824365917268638E-4	7.567576600497985E-4	7.554815445432268E-4	7.265366677121255E-4
SiteId	Latitude	Longitude	UserCount	MinuteCount	URICount	TotalCount	工作区	生活区	商业区	timeZone1	timeZone2	timeZone3	timeZone4	timeZone5	timeZone6
889	40.816101	111.664001	8294	7899	828	137988	20	56	21	4603	5407	30539	36704	43101	17634
775	40.8106	111.658997	6200	7695	755	125132	8	33	21	3692	4146	28991	32931	42090	13282
1180	40.824699	111.682999	5083	8603	692	109520	20	38	20	9780	12650	20315	22614	26237	17924
1147	40.820702	111.683998	3919	8499	664	110975	8	29	17	8284	10028	23275	26227	28229	14932
1011	40.822899	111.667999	3601	8137	667	87167	8	15	19	5569	5621	19959	20319	22440	13259
1027	40.820702	111.670998	4001	7809	616	69187	18	32	24	5000	5615	16269	18358	17853	6092
1220	40.8265	111.686996	3682	7919	681	83100	12	34	27	3717	7831	19298	20134	21550	10570
916	40.8069	111.676003	3458	7798	717	128368	12	33	5	4587	12877	43992	24106	39813	2993
1331	40.821301	111.706001	2867	8497	756	135838	15	46	17	11586	14079	24548	25805	28823	30997
1090	40.822701	111.677002	2585	8625	712	108188	13	16	29	10552	7459	18400	25203	24224	22350
1136	40.824402	111.679001	3433	8088	626	60138	13	28	18	6196	5142	9924	12343	15476	11057
876	40.798302	111.68	3010	8043	631	68975	14	32	18	8128	8294	17274	13619	18080	3580
1012	40.803902	111.686996	2869	7962	737	136259	12	23	16	12160	10795	45131	28224	33873	6076
1102	40.824699	111.676003	1491	8548	629	86262	13	21	20	8395	9761	15729	14500	18402	19475
797	40.809601	111.662003	1849	7727	673	76844	7	31	28	9008	5911	19537	14536	15892	11960
1101	40.827702	111.672997	1209	8364	691	91058	12	24	12	12040	14666	20005	18756	19564	6027
1157	40.822399	111.682999	2032	8132	567	56853	10	49	12	4063	4524	10368	10829	16278	10791
944	40.809738	111.675293	2012	7953	577	57085	16	25	6	6895	4896	13176	12522	11521	8075
1352	40.822399	111.708	1560	7796	614	64577	12	47	18	6748	7728	17518	12500	16773	3310
913	40.813599	111.668999	1324	8391	573	61068	9	57	19	5936	5642	9230	14159	13406	12695
1223	40.821899	111.692001	1053	8437	594	79761	5	42	18	14157	9316	13185	12012	15162	15929
927	40.809101	111.675003	1279	8025	620	67699	17	28	5	7379	6286	9410	15053	11914	17657
1232	40.8242	111.691002	1032	8588	620	82949	7	33	15	9488	10394	10446	14626	18068	19927
922	40.8153	111.667999	1145	7609	622	58382	10	55	31	7938	4258	9377	11693	11868	13248
1146	40.821701	111.682999	886	6976	528	37116	12	41	18	4398	3043	4825	8509	7274	9067
1034	40.82665	111.66574	761	7390	477	39548	10	18	16	7419	7859	8648	7263	6946	1413
1190	40.821701	111.688004	636	7639	495	49401	6	36	19	6393	6214	4849	6820	9178	15947
1198	40.826889	111.683853	656	8157	577	65365	11	28	15	10412	6060	8816	12330	10694	17053
867	40.814701	111.663002	488	7159	406	32811	8	31	15	4436	3517	6983	5810	5862	6203
1205	40.824299	111.686996	390	5450	354	22217	10	24	20	1785	1927	4800	4980	5750	2975
1158	40.8214	111.683998	407	4250	366	12429	9	35	17	2322	1410	1609	1874	2396	2818
1264	40.826801	111.692001	327	5693	340	28953	10	19	16	2415	239	5736	7382	10718	2463
937	40.8097	111.675003	495	3992	371	12277	19	28	7	1276	1154	3548	2068	2064	2167
1202	40.826099	111.684998	332	5102	376	21331	14	27	24	1649	2381	3708	3895	3295	6403
1028	40.817699	111.674004	164	4420	277	15308	13	28	15	1519	1359	3600	3266	3407	2157
1173	40.823799	111.682999	254	3005	217	8492	20	44	21	518	11	1630	1977	1839	2517
868	40.8148	111.663002	277	3606	257	10800	10	32	14	373	398	3040	3145	2365	1479
1145	40.829102	111.675003	181	2113	205	5263	14	41	15	291	763	845	1503	1495	366
838	40.810299	111.665001	182	3362	290	12132	9	17	24	128	298	3628	3282	3468	1328
778	40.810799	111.658997	176	2370	238	6453	7	32	18	55	131	2125	2021	1993	128
898	40.816002	111.665001	187	2905	298	16400	19	51	23	0	10	6750	5708	3932	0
1204	40.8242	111.686996	176	2099	231	9498	9	35	23	499	701	1423	4279	1658	938
747	40.809799	111.655998	122	4882	254	17374	9	30	12	2807	1386	3955	3003	4120	2103
879	40.815601	111.663002	146	3157	214	9905	16	46	19	52	8	2514	2957	3780	594
869	40.814899	111.663002	110	3462	152	5342	11	39	15	771	932	1148	882	821	788
877	40.815399	111.663002	143	2177	175	4889	14	43	19	23	15	961	1503	1748	639
1195	40.823601	111.686996	81	2831	171	5617	9	32	19	1291	940	687	822	884	993
886	40.815899	111.664001	75	868	93	1927	19	56	21	54	28	537	674	389	245
896	40.816898	111.664001	59	1520	113	2848	19	53	20	543	468	705	314	436	382
1123	40.824501	111.678001	65	1419	120	4113	13	27	24	339	986	412	583	944	849
897	40.817902	111.663002	55	870	103	1747	12	35	11	135	452	245	440	257	218
1183	40.825401	111.682999	51	564	86	1157	16	32	20	361	113	296	81	148	158
1219	40.825401	111.688004	37	1961	177	7752	14	33	31	0	135	3618	1981	2018	0
1234	40.826118	111.689713	61	715	118	1538	15	33	19	17	50	225	382	682	182
894	40.817699	111.663002	41	962	141	3369	13	38	13	3	123	1196	1258	710	79
1038	40.8283	111.665001	32	1189	77	1913	9	26	22	318	292	478	317	413	95
934	40.8106	111.674004	38	1752	108	4778	15	26	10	1192	636	386	770	1031	763
752	40.809399	111.656998	18	526	86	1679	10	28	16	100	109	394	433	472	171
1148	40.822865	111.681969	28	1204	87	2494	12	43	13	72	1	371	1014	637	399
1025	40.818699	111.672997	27	211	55	512	14	23	18	0	90	131	141	121	29
1143	40.824001	111.68	13	412	58	865	13	34	22	4	3	305	426	126	1
914	40.808701	111.674004	12	537	25	705	16	30	6	22	38	177	237	156	75
1181	40.825901	111.681999	7	449	35	1247	14	24	16	462	0	11	110	184	480
1150	40.823101	111.681999	9	21	14	65	12	46	17	0	0	6	38	21	0
925	40.808998	111.675003	7	77	23	180	16	27	5	0	0	175	5	0	0
930	40.811298	111.672997	10	89	18	179	10	29	14	16	19	24	63	50	7
