平均值	8.231423551194093E-4	8.989138738979806E-4	8.257108476106903E-4	0.0026146804259143766	0.002648086149799909	0.0027246953004005743	0.0025448985009926257	0.002575417933204956	0.002563412580869232
SiteId	Latitude	Longitude	UserCount	MinuteCount	URICount	TotalCount	工作区	生活区	商业区	timeZone1	timeZone2	timeZone3	timeZone4	timeZone5	timeZone6
971	40.828098	111.660004	6422	8415	842	152578	4	10	8	14784	16775	40259	34167	40617	5976
1047	40.801399	111.693001	6996	8641	896	448614	0	2	2	24251	36110	161243	90966	116403	19641
861	40.819401	111.657997	6478	8606	782	148300	0	49	4	7426	9016	31276	33663	39270	27649
1043	40.803001	111.691002	6117	8648	867	371944	0	5	2	44424	37998	110579	79314	82896	16733
1042	40.8228	111.670998	5997	8670	744	138951	10	8	3	11167	13102	30523	27594	31674	24891
614	40.776901	111.657997	5073	8728	834	150503	0	2	0	11530	18735	33507	26593	33351	26787
1066	40.8055	111.691002	5893	8630	844	256749	0	8	2	37049	28824	60660	56503	56611	17102
1512	40.8357	111.73394	5095	8485	813	131494	5	25	6	15489	20392	29595	22974	35002	8042
1098	40.814499	111.685997	5590	8401	820	159507	2	9	5	6573	9385	50845	34528	38380	19796
656	40.791801	111.653999	4501	8427	817	114760	2	5	1	14886	16323	26785	23490	27096	6180
1344	40.839699	111.689003	4272	8357	804	132760	3	9	7	10393	13374	32647	31300	38968	6078
946	40.8251	111.660004	4714	8138	741	103386	5	19	4	12309	11866	24830	22651	27765	3965
684	40.807098	111.648003	5085	8790	819	178129	1	1	0	18737	21112	32513	33025	36028	36714
892	40.824525	111.655892	4281	8784	847	202951	5	23	9	21344	20418	46669	38781	43428	32311
725	40.815399	111.648003	5296	8714	811	147670	0	13	11	9757	12714	31811	31009	38350	24029
1086	40.810001	111.689003	5557	8330	795	149347	4	23	10	10608	14190	46963	30559	40656	6371
1545	40.837	111.746013	4226	8492	830	200884	2	0	0	14124	22594	61302	44907	51102	6855
1304	40.828499	111.695	5309	8795	818	251882	4	6	3	23558	24302	63150	51813	56890	32169
904	40.827801	111.653999	3856	8452	788	127145	3	4	2	17537	16879	32574	24398	28871	6886
763	40.819801	111.648003	4615	8654	764	133116	1	0	1	9630	12862	31524	29156	29515	20429
1245	40.8419	111.675003	4755	8768	819	188699	1	11	6	12846	14405	38310	43841	45516	33781
841	40.810101	111.666	4347	8801	850	204037	2	1	3	21552	20505	41364	40905	41215	38496
599	40.7915	111.639999	3618	8550	813	133741	0	0	1	16705	23694	28022	21774	34339	9207
926	40.8181	111.666	4777	8621	771	127602	5	21	7	11671	8533	25461	26348	32649	22940
770	40.797001	111.671997	4244	8390	750	108762	2	10	9	13674	16111	24341	21692	27975	4969
633	40.803101	111.637001	3503	8613	821	198408	2	8	2	31347	36080	43288	34030	41637	12026
1149	40.815899	111.689003	4520	8737	808	162181	2	1	1	9418	15835	32400	34450	35644	34434
677	40.8032	111.649002	3853	8394	746	123807	3	11	1	14438	17560	29117	26878	30121	5693
1188	40.808102	111.700996	4610	8544	793	168522	0	5	1	20052	21663	41180	33060	43082	9485
553	40.775799	111.635002	3434	8784	853	162947	2	0	0	17258	21293	24496	24179	31544	44177
1106	40.835999	111.665001	4607	8223	809	143364	3	4	0	9932	14327	50457	26150	37972	4526
690	40.816299	111.639999	4526	8751	782	148913	3	5	4	15012	15261	23629	27733	36023	31255
631	40.788502	111.651001	3756	8518	814	136564	1	0	0	14409	23218	31671	26801	32738	7727
935	40.76997	111.714699	3189	8842	846	231262	1	0	0	23642	26656	43142	39870	47090	50862
548	40.793701	111.614998	2793	8462	814	132674	0	5	3	13259	22596	31355	26512	31444	7508
1263	40.8466	111.671997	4051	8827	834	279832	0	3	1	33992	23043	62071	48175	58729	53822
698	40.808899	111.649002	4259	8538	781	120713	0	7	1	10196	9058	22597	28762	30753	19347
1244	40.819901	111.696999	4351	8633	726	113669	5	15	9	11212	9604	20567	22658	27134	22494
1671	40.896702	111.845001	4328	8787	869	269989	0	1	0	19131	27969	70288	51859	51571	49171
1482	40.83559	111.726733	4277	8433	773	125730	4	11	8	10978	15355	28777	29228	35010	6382
1378	40.830601	111.704002	3642	8531	769	147018	7	11	5	17180	18731	33789	30579	38430	8309
1134	40.857201	111.646004	3189	8619	769	120336	1	1	2	15366	13790	19341	19673	25225	26941
1282	40.829498	111.691002	3999	8681	725	136897	1	12	8	14269	13463	26760	21463	34407	26535
1435	40.86388	111.683207	3356	8662	801	122976	0	2	2	8024	15973	23729	24074	26790	24386
895	40.8018	111.679001	3233	8497	734	127858	3	7	1	19681	18561	26602	25511	28451	9052
862	40.829399	111.648003	3996	8159	691	98114	2	3	1	9145	10271	27905	20576	25129	5088
1082	40.832401	111.666	3789	8365	705	110667	0	1	2	11249	13024	29768	20077	30886	5663
842	40.806198	111.669998	4105	8453	714	116992	9	14	10	18879	19059	26441	20105	25927	6581
697	40.7938	111.664001	3501	8438	735	101930	5	16	11	14685	15571	22033	15308	27506	6827
873	40.851101	111.626999	3905	8788	814	173535	0	5	1	17765	16857	31904	29895	44625	32489
1357	40.8298	111.700996	4061	8590	712	96474	8	7	2	8647	8751	19969	20776	24767	13564
817	40.801601	111.671997	3354	8337	757	142979	5	21	6	12145	18163	41914	29038	36643	5076
1351	40.816299	111.713997	2881	8243	718	105818	1	9	5	9948	10708	26480	23992	29012	5678
1003	40.7971	111.693001	3607	8312	779	138661	2	3	2	12620	12330	42290	26536	36682	8203
1243	40.843899	111.672997	3893	8527	800	212074	7	18	8	12267	15527	62314	47135	51432	23399
1297	40.843399	111.679001	3860	8686	813	246610	5	17	5	14612	17300	70902	45714	57330	40752
