平均值	0.0031988024027229593	0.0037221135522106396	0.003211963804052446	0.005932555873021159	0.002959371291752788	0.003113716601139375	0.002452335387619897	0.001990157360706831	0.002913845408566595	0.0041586789286427155	0.0017782302281419671	0.005070164920870187	0.0060207860074563855	0.004072332974418103	0.0036776934844510636	0.0017135026392464156	0.0051277535565599
SiteId	Latitude	Longitude	UserCount	MinuteCount	URICount	TotalCount	美食	休闲娱乐	购物	结婚	宾馆酒店	旅游景点	教育培育	生活服务	医疗服务	丽人	汽车服务	运动健身	商务服务	机构	金融银行	楼宇小区	交通出行	工作区	生活区	商业区
889	40.816101	111.664001	18171	8290	3612	229142	139	30	41	7	32	5	6	6	25	12	6	4	1	12	17	2	2	45	192	110
1042	40.8228	111.670998	14137	8829	3613	266624	71	22	15	0	40	7	2	5	2	7	7	1	1	8	18	1	6	48	88	77
1180	40.824699	111.682999	11648	8782	3166	196091	124	25	19	10	37	4	12	2	12	16	1	2	1	17	14	0	8	45	168	91
841	40.810101	111.666	11564	8856	3945	383860	56	16	33	11	21	3	1	0	27	6	4	3	1	8	6	2	2	26	93	81
926	40.8181	111.666	11392	8797	3518	236443	166	29	34	4	44	6	5	4	11	13	3	2	2	12	19	1	3	46	201	111
842	40.806198	111.669998	9455	8582	3033	281128	35	10	5	12	6	1	3	2	4	4	4	1	3	6	7	2	2	25	49	33
1147	40.820702	111.683998	9177	8662	2925	198792	102	19	9	8	34	2	8	2	5	9	1	1	1	10	7	1	10	32	127	70
1027	40.820702	111.670998	8051	8236	2566	112024	82	22	25	2	39	8	3	6	2	7	5	1	1	10	20	2	5	51	101	88
1220	40.8265	111.686996	8028	8375	2780	144142	111	23	17	9	39	5	12	7	13	8	1	4	1	12	24	3	5	51	155	88
916	40.8069	111.676003	7591	8251	2907	225503	75	12	4	6	9	1	6	4	10	7	5	1	3	5	11	2	4	31	103	31
978	40.8134	111.675003	7452	8161	2514	98882	96	11	20	3	12	4	5	4	22	13	2	1	1	7	17	0	3	34	141	46
1090	40.822701	111.677002	7271	8783	3026	211009	62	15	21	4	33	4	10	8	4	9	7	1	1	11	11	1	6	41	94	73
1136	40.824402	111.679001	7258	8465	2579	119564	96	19	21	6	32	4	9	6	10	14	4	2	1	15	14	1	7	46	137	78
837	40.807924	111.667238	6658	7952	2544	126496	40	14	18	14	11	2	2	1	27	3	2	2	0	7	5	2	2	20	75	57
983	40.808701	111.68	6431	8396	2519	128181	81	9	7	1	13	3	3	5	13	7	6	0	3	4	13	2	3	34	109	30
969	40.816101	111.671997	5986	8392	2275	103072	123	18	47	5	24	3	3	6	14	14	3	2	2	10	17	1	4	40	162	94
874	40.806198	111.671997	5518	7746	2362	138948	55	12	6	10	9	1	2	3	6	7	6	2	3	7	7	2	3	29	75	37
953	40.817799	111.667999	5373	8741	2576	156610	151	23	36	6	44	8	5	4	9	14	3	1	2	11	25	1	4	54	184	109
1102	40.824699	111.676003	5290	8781	2768	181063	81	15	17	3	33	4	9	6	7	14	6	1	1	15	12	1	7	46	118	68
1157	40.822399	111.682999	5198	8520	2210	96254	111	20	14	10	36	2	8	3	10	11	2	1	1	12	11	0	10	38	144	80
853	40.814899	111.662003	5164	5160	1995	120665	103	21	31	8	35	2	8	6	24	11	5	3	1	11	15	1	3	38	155	95
1272	40.8232	111.695999	4660	8594	2237	107915	69	10	12	1	27	1	7	9	9	8	1	3	1	8	7	2	3	23	105	50
944	40.809738	111.675293	4523	8353	2073	91108	87	16	9	7	8	1	6	3	20	11	4	3	3	8	17	2	4	39	130	40
859	40.814301	111.663002	4230	7172	2341	140545	113	21	34	9	34	2	7	6	24	11	5	1	1	12	15	1	3	39	162	98
908	40.812	111.669998	3792	8425	2274	106289	86	18	44	12	16	2	5	2	36	11	4	4	1	10	9	2	4	32	144	90
913	40.813599	111.668999	3773	8655	2216	128768	112	21	51	9	23	2	4	5	33	13	3	5	1	12	17	2	3	40	172	104
1223	40.821899	111.692001	3634	8732	2343	149034	96	12	13	4	42	2	10	5	19	10	1	2	2	11	8	2	1	27	142	71
927	40.809101	111.675003	3514	8515	2278	118247	89	16	9	7	7	1	6	3	17	9	5	3	3	7	15	2	5	38	127	39
1232	40.8242	111.691002	3501	8786	2486	160743	119	19	15	7	47	6	10	3	7	8	2	3	2	10	15	2	4	41	150	88
922	40.8153	111.667999	3162	8224	2168	103263	137	20	48	9	33	3	4	6	27	16	4	2	1	15	20	2	4	49	192	110
