平均值	0.0	0.0	0.0	0.0	0.0030634275100946077	0.003134497444279676	0.0026247447535119356	0.0022796184626820573	0.0026933141765590374	0.002950967370911232	0.0020887638318515802	0.0028263005678278628	0.006243636193860356	0.0023782179364720646	0.001679676959111249	0.0038576931799528444	2.489333843415134E-6	0.0023101176415816346	0.001886364002299347	8.210984073414102E-4	0.0010870994444396667	0.0	0.0	0.0	0.0	0.0	0.0
SiteId	Latitude	Longitude	UserCount	MinuteCount	URICount	TotalCount	美食	休闲娱乐	购物	结婚	宾馆酒店	旅游景点	教育培育	生活服务	医疗服务	丽人	汽车服务	运动健身	商务服务	机构	金融银行	楼宇小区	交通出行	工作区	生活区	商业区	timeZone1	timeZone2	timeZone3	timeZone4	timeZone5	timeZone6
861	40.819401	111.657997	6478	8606	782	148300	63	14	9	0	24	1	7	6	55	3	4	2	0	2	7	1	1	16	136	47	7426	9016	31276	33663	39270	27649
775	40.8106	111.658997	6200	7695	755	125132	117	18	28	5	25	5	5	7	24	7	4	1	0	8	6	1	1	25	161	76	3692	4146	28991	32931	42090	13282
772	40.811501	111.657997	3444	7739	635	69836	110	16	23	2	23	4	5	9	23	7	4	1	0	5	4	0	1	18	155	64	3497	3779	14703	18007	19865	9985
780	40.817101	111.653	3020	8544	736	94911	68	17	4	1	12	4	4	6	43	2	1	0	0	2	4	1	0	12	123	34	12145	8494	18514	17889	18884	18985
823	40.820202	111.653999	2695	8825	846	281045	47	5	7	1	21	1	4	4	46	1	2	0	0	1	8	1	0	13	102	34	18610	22208	74514	54560	59066	52087
813	40.815102	111.657997	2801	8639	707	122408	87	12	9	1	23	3	5	9	26	5	3	2	0	5	6	0	0	17	134	45	8128	6857	23802	33053	31494	19074
905	40.819801	111.662003	3432	7914	617	66838	90	16	7	1	23	3	5	3	49	7	3	2	0	6	6	0	1	19	156	47	6122	3762	16541	16122	15042	9249
764	40.810902	111.656998	2358	8707	724	123818	104	13	20	1	23	4	5	7	20	5	4	1	0	5	4	0	0	17	142	57	11998	10502	24093	24526	24731	27968
787	40.813599	111.656998	2512	8323	666	89366	90	8	15	1	17	3	6	9	22	5	4	1	0	5	3	0	0	15	133	41	5745	6490	18499	22293	20089	16250
902	40.819599	111.662003	2674	6474	519	31231	96	16	9	1	22	3	4	3	50	7	3	2	0	6	6	0	1	19	162	48	1901	1996	6781	7508	8134	4911
797	40.809601	111.662003	1849	7727	673	76844	64	18	32	7	25	3	3	4	15	6	4	2	0	9	5	1	2	24	94	82	9008	5911	19537	14536	15892	11960
870	40.821594	111.656372	1705	8670	736	125618	54	5	8	0	27	1	4	5	46	2	2	2	0	1	10	1	0	15	113	40	11681	12098	17038	25624	26180	32997
834	40.813999	111.661003	1520	3706	530	48623	147	21	33	6	38	4	8	9	26	11	5	2	0	12	13	1	3	38	203	98	7	47	12391	20910	15233	35
807	40.813499	111.658997	1508	5122	479	27185	118	21	27	4	27	4	7	9	26	9	7	1	0	9	8	1	1	30	170	79	2872	763	5442	9237	6826	2045
835	40.814098	111.661003	1112	3394	441	26614	146	21	33	6	38	4	8	9	26	11	5	2	0	12	13	1	3	38	202	98	6	78	7929	10189	8355	57
802	40.812	111.660004	441	4524	338	21296	127	20	34	6	30	5	8	7	27	8	4	2	0	9	7	1	2	28	179	90	267	184	4581	6798	7435	2031
846	40.817501	111.658997	303	5499	334	25768	63	14	9	0	27	3	9	9	63	7	3	2	0	6	8	0	1	21	153	50	4335	770	4844	4365	5045	6409
822	40.813099	111.661003	263	2583	204	8811	140	23	39	6	37	5	7	7	26	11	6	1	0	12	11	1	2	37	192	105	0	28	2498	3100	3019	166
812	40.812	111.661003	216	4815	265	16465	92	19	36	6	29	3	6	6	26	9	4	2	0	10	7	1	2	27	141	90	897	1001	4431	4129	3918	2089
921	40.821201	111.662003	164	3793	225	11408	71	14	6	1	19	3	5	4	47	4	3	2	0	4	4	0	1	15	133	40	981	278	1463	2691	3319	2676
888	40.817902	111.662003	126	3689	246	9876	104	16	15	1	25	2	5	8	42	7	4	2	0	5	10	0	1	22	168	57	894	608	1718	1362	2894	2400
778	40.810799	111.658997	176	2370	238	6453	119	18	27	5	24	5	5	7	25	7	4	1	0	8	6	1	1	25	164	74	55	131	2125	2021	1993	128
790	40.811901	111.658997	143	2781	251	10284	122	19	28	5	27	5	7	9	26	7	5	1	0	8	6	1	1	26	172	79	0	164	3675	3142	3015	288
805	40.818298	111.653999	149	3875	203	11571	37	11	6	1	19	3	6	6	45	1	3	2	0	1	7	1	0	15	97	37	1486	1666	2272	2349	3204	594
897	40.817902	111.663002	55	870	103	1747	102	16	15	1	24	4	5	6	11	6	3	3	0	5	11	1	1	25	133	56	135	452	245	440	257	218
880	40.820702	111.657997	70	2141	161	5915	74	14	10	0	26	1	6	5	50	3	3	2	0	2	7	0	0	13	140	50	189	319	2138	1940	791	538
918	40.823002	111.660004	23	523	100	1337	66	8	8	0	28	2	6	3	49	5	1	2	0	4	7	1	0	15	131	44	24	13	691	319	244	46
894	40.817699	111.663002	41	962	141	3369	100	16	15	1	24	3	5	6	11	6	3	3	0	5	12	1	1	25	131	56	3	123	1196	1258	710	79
789	40.811699	111.658997	21	355	44	854	121	19	28	5	26	5	7	8	26	7	5	1	0	8	6	1	1	26	170	78	0	0	200	308	346	0
831	40.819569	111.655273	27	1007	80	2063	45	10	7	1	26	1	4	6	46	1	3	2	0	1	8	1	0	14	104	44	217	204	344	242	411	645
