SiteId	Latitude	Longitude	UserCount	MinuteCount	URICount	TotalCount	美食	休闲娱乐	购物	结婚	宾馆酒店	旅游景点	教育培育	生活服务	医疗服务	丽人	汽车服务	运动健身	商务服务	机构	金融银行	楼宇小区	交通出行	工作区	生活区	商业区	timeZone1	timeZone2	timeZone3	timeZone4	timeZone5	timeZone6
971	40.828098	111.660004	6422	8415	842	152578	58	5	13	0	30	2	6	4	6	3	2	0	1	5	11	1	1	23	77	48	14784	16775	40259	34167	40617	5976
889	40.816101	111.664001	8294	7899	828	137988	139	30	41	7	32	5	6	6	25	12	6	4	1	12	17	2	2	45	192	110	4603	5407	30539	36704	43101	17634
1047	40.801399	111.693001	6996	8641	896	448614	23	3	7	0	9	0	3	0	5	0	0	0	0	0	2	0	0	2	31	19	24251	36110	161243	90966	116403	19641
861	40.819401	111.657997	6478	8606	782	148300	63	14	9	0	24	1	7	6	55	3	4	2	0	2	7	1	1	16	136	47	7426	9016	31276	33663	39270	27649
775	40.8106	111.658997	6200	7695	755	125132	117	18	28	5	25	5	5	7	24	7	4	1	0	8	6	1	1	25	161	76	3692	4146	28991	32931	42090	13282
1043	40.803001	111.691002	6117	8648	867	371944	34	4	11	1	12	0	2	3	4	1	5	0	0	2	2	0	0	9	44	28	44424	37998	110579	79314	82896	16733
1042	40.8228	111.670998	5997	8670	744	138951	71	22	15	0	40	7	2	5	2	7	7	1	1	8	18	1	6	48	88	77	11167	13102	30523	27594	31674	24891
614	40.776901	111.657997	5073	8728	834	150503	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	3	0	11530	18735	33507	26593	33351	26787
1066	40.8055	111.691002	5893	8630	844	256749	55	4	14	1	13	1	6	3	4	3	1	1	0	3	3	0	1	9	72	32	37049	28824	60660	56503	56611	17102
1606	40.8512	111.777	3902	8540	847	196118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13612	21670	64554	39884	46817	9581
1512	40.8357	111.73394	5095	8485	813	131494	29	5	1	0	4	3	3	1	4	4	1	0	0	1	0	3	1	9	41	10	15489	20392	29595	22974	35002	8042
1098	40.814499	111.685997	5590	8401	820	159507	31	6	4	1	15	2	4	1	4	3	1	1	0	4	7	0	4	18	44	26	6573	9385	50845	34528	38380	19796
656	40.791801	111.653999	4501	8427	817	114760	13	1	4	2	6	1	3	1	5	2	1	0	1	2	5	2	0	12	24	13	14886	16323	26785	23490	27096	6180
915	40.84053	111.642311	4951	8793	862	191281	1	0	1	0	0	0	4	0	3	0	0	0	0	0	0	2	0	2	8	1	15269	22102	39856	32933	44782	36339
901	40.832152	111.649285	5224	8164	729	82160	5	0	6	0	6	1	1	0	3	0	3	0	0	0	4	0	2	10	9	12	11559	12649	18777	14191	19957	5027
1344	40.839699	111.689003	4272	8357	804	132760	40	5	10	0	11	2	2	4	7	2	0	0	0	2	4	3	1	12	55	26	10393	13374	32647	31300	38968	6078
946	40.8251	111.660004	4714	8138	741	103386	61	4	9	0	30	2	6	5	4	3	2	0	1	5	9	1	0	20	79	43	12309	11866	24830	22651	27765	3965
684	40.807098	111.648003	5085	8790	819	178129	25	1	3	0	3	0	8	3	3	1	2	1	0	1	0	1	0	4	41	7	18737	21112	32513	33025	36028	36714
892	40.824525	111.655892	4281	8784	847	202951	59	4	9	0	23	1	7	3	17	2	2	0	0	3	8	1	0	15	88	36	21344	20418	46669	38781	43428	32311
