美食	0.001649873753993801(min)	0.0031988024027229593(max)	0.003061652982202706
休闲娱乐	0.0015185640185640195(min)	0.0037221135522106396(max)	0.003132561273902524
购物	0.0015500298957548022(min)	0.003211963804052446(max)	0.002616833600551871
结婚	9.903618394184425E-4(min)	0.005932555873021159(max)	0.002279618458810845
宾馆酒店	0.00168858698270463(min)	0.002959371291752788(max)	0.0026906611842751403
旅游景点	0.0016219008264462863(min)	0.003113716601139375(max)	0.002948236722682263
教育培育	0.0016801297755412825(min)	0.002452335387619897(max)	0.0020887062062073867
生活服务	0.001894752592476934(min)	0.001990157360706831	0.002816524428651699(max)
医疗服务	0.0012649455614187444(min)	0.002913845408566595	0.006236706448147191(max)
丽人	0.001495055052129007(min)	0.0041586789286427155(max)	0.002377262056037216
汽车服务	0.001339531680440771(min)	0.0017782302281419671(max)	0.0016734971256833029
运动健身	0.0010005717552887365(min)	0.005070164920870187(max)	0.003857693176041722
商务服务	0.0012884997516145068	0.0060207860074563855(max)	2.4791346289469108E-6(min)
机构	0.0015398486038706006(min)	0.004072332974418103(max)	0.0023100969204558667
金融银行	0.0015937221122880522(min)	0.0036776934844510636(max)	0.0018858134031488458
楼宇小区	0.0012821901975656436	0.0017135026392464156(max)	8.190782192932565E-4(min)
交通出行	0.0014764817549040275	0.0051277535565599(max)	0.001085715936564813(min)
