平均值	0.003061652982202706	0.003132561273902524	0.002616833600551871	0.002279618458810845	0.0026906611842751403	0.002948236722682263	0.0020887062062073867	0.002816524428651699	0.006236706448147191	0.002377262056037216	0.0016734971256833029	0.003857693176041722	2.4791346289469108E-6	0.0023100969204558667	0.0018858134031488458	8.190782192932565E-4	0.001085715936564813
SiteId	Latitude	Longitude	UserCount	MinuteCount	URICount	TotalCount	美食	休闲娱乐	购物	结婚	宾馆酒店	旅游景点	教育培育	生活服务	医疗服务	丽人	汽车服务	运动健身	商务服务	机构	金融银行	楼宇小区	交通出行	工作区	生活区	商业区
861	40.819401	111.657997	15579	8822	3616	268256	63	14	9	0	24	1	7	6	55	3	4	2	0	2	7	1	1	16	136	47
775	40.8106	111.658997	14552	8244	3247	219388	117	18	28	5	25	5	5	7	24	7	4	1	0	8	6	1	1	25	161	76
772	40.811501	111.657997	7884	8302	2468	123730	110	16	23	2	23	4	5	9	23	7	4	1	0	5	4	0	1	18	155	64
780	40.817101	111.653	7753	8730	2889	166676	68	17	4	1	12	4	4	6	43	2	1	0	0	2	4	1	0	12	123	34
823	40.820202	111.653999	7524	8872	3749	547808	47	5	7	1	21	1	4	4	46	1	2	0	0	1	8	1	0	13	102	34
813	40.815102	111.657997	7392	8793	3079	221239	87	12	9	1	23	3	5	9	26	5	3	2	0	5	6	0	0	17	134	45
905	40.819801	111.662003	7349	8393	2333	110943	90	16	7	1	23	3	5	3	49	7	3	2	0	6	6	0	1	19	156	47
764	40.810902	111.656998	7226	8801	3092	234681	104	13	20	1	23	4	5	7	20	5	4	1	0	5	4	0	0	17	142	57
787	40.813599	111.656998	6416	8690	2631	162077	90	8	15	1	17	3	6	9	22	5	4	1	0	5	3	0	0	15	133	41
902	40.819599	111.662003	5379	7409	1815	54054	96	16	9	1	22	3	4	3	50	7	3	2	0	6	6	0	1	19	162	48
797	40.809601	111.662003	5284	8275	2469	135973	64	18	32	7	25	3	3	4	15	6	4	2	0	9	5	1	2	24	94	82
870	40.821594	111.656372	5148	8821	3006	246881	54	5	8	0	27	1	4	5	46	2	2	2	0	1	10	1	0	15	113	40
834	40.813999	111.661003	3656	3876	1704	86868	147	21	33	6	38	4	8	9	26	11	5	2	0	12	13	1	3	38	203	98
807	40.813499	111.658997	3306	5929	1392	44209	118	21	27	4	27	4	7	9	26	9	7	1	0	9	8	1	1	30	170	79
835	40.814098	111.661003	2615	3850	1298	48889	146	21	33	6	38	4	8	9	26	11	5	2	0	12	13	1	3	38	202	98
802	40.812	111.660004	1562	5143	1128	35851	127	20	34	6	30	5	8	7	27	8	4	2	0	9	7	1	2	28	179	90
846	40.817501	111.658997	912	6187	944	40190	63	14	9	0	27	3	9	9	63	7	3	2	0	6	8	0	1	21	153	50
822	40.813099	111.661003	762	3477	662	16785	140	23	39	6	37	5	7	7	26	11	6	1	0	12	11	1	2	37	192	105
812	40.812	111.661003	758	5873	911	27763	92	19	36	6	29	3	6	6	26	9	4	2	0	10	7	1	2	27	141	90
921	40.821201	111.662003	603	5077	821	27172	71	14	6	1	19	3	5	4	47	4	3	2	0	4	4	0	1	15	133	40
888	40.817902	111.662003	581	5227	780	19464	104	16	15	1	25	2	5	8	42	7	4	2	0	5	10	0	1	22	168	57
778	40.810799	111.658997	569	3097	658	11119	119	18	27	5	24	5	5	7	25	7	4	1	0	8	6	1	1	25	164	74
790	40.811901	111.658997	513	3731	694	18148	122	19	28	5	27	5	7	9	26	7	5	1	0	8	6	1	1	26	172	79
805	40.818298	111.653999	509	4783	633	18478	37	11	6	1	19	3	6	6	45	1	3	2	0	1	7	1	0	15	97	37
897	40.817902	111.663002	249	1737	337	3918	102	16	15	1	24	4	5	6	11	6	3	3	0	5	11	1	1	25	133	56
880	40.820702	111.657997	215	2605	422	8313	74	14	10	0	26	1	6	5	50	3	3	2	0	2	7	0	0	13	140	50
918	40.823002	111.660004	207	1548	300	3504	66	8	8	0	28	2	6	3	49	5	1	2	0	4	7	1	0	15	131	44
894	40.817699	111.663002	158	1419	363	4993	100	16	15	1	24	3	5	6	11	6	3	3	0	5	12	1	1	25	131	56
789	40.811699	111.658997	82	880	161	2488	121	19	28	5	26	5	7	8	26	7	5	1	0	8	6	1	1	26	170	78
831	40.819569	111.655273	80	1346	246	3212	45	10	7	1	26	1	4	6	46	1	3	2	0	1	8	1	0	14	104	44
