平均值	0.0024193543264464856	0.0014796201603411666	0.001664343358615658	0.0027716181642091046	5.521596385283494E-4	4.942817973482001E-4	5.677930265624512E-4	3.2955488176573955E-4	5.986985065922541E-4	5.766383690689039E-4	8.707347869886509E-4	7.172927895168814E-4	6.045934207105782E-4	5.008955317273221E-4	7.140888746366241E-4	2.824717533935113E-4	2.789801190938342E-4	4.965179223713424E-4	6.268000582514607E-4	8.349260370214629E-4	4.2383096885795387E-4	0.0026724269998841914	0.00271203701985625	0.0030235507983233925	0.0027141338101650627	0.0027711940802028724	0.0025968298893983793
SiteId	Latitude	Longitude	UserCount	MinuteCount	URICount	TotalCount	美食	休闲娱乐	购物	结婚	宾馆酒店	旅游景点	教育培育	生活服务	医疗服务	丽人	汽车服务	运动健身	商务服务	机构	金融银行	楼宇小区	交通出行	工作区	生活区	商业区	timeZone1	timeZone2	timeZone3	timeZone4	timeZone5	timeZone6
971	40.828098	111.660004	6422	8415	842	152578	58	5	13	0	30	2	6	4	6	3	2	0	1	5	11	1	1	23	77	48	14784	16775	40259	34167	40617	5976
1047	40.801399	111.693001	6996	8641	896	448614	23	3	7	0	9	0	3	0	5	0	0	0	0	0	2	0	0	2	31	19	24251	36110	161243	90966	116403	19641
1043	40.803001	111.691002	6117	8648	867	371944	34	4	11	1	12	0	2	3	4	1	5	0	0	2	2	0	0	9	44	28	44424	37998	110579	79314	82896	16733
614	40.776901	111.657997	5073	8728	834	150503	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	3	0	11530	18735	33507	26593	33351	26787
1066	40.8055	111.691002	5893	8630	844	256749	55	4	14	1	13	1	6	3	4	3	1	1	0	3	3	0	1	9	72	32	37049	28824	60660	56503	56611	17102
1512	40.8357	111.73394	5095	8485	813	131494	29	5	1	0	4	3	3	1	4	4	1	0	0	1	0	3	1	9	41	10	15489	20392	29595	22974	35002	8042
1098	40.814499	111.685997	5590	8401	820	159507	31	6	4	1	15	2	4	1	4	3	1	1	0	4	7	0	4	18	44	26	6573	9385	50845	34528	38380	19796
656	40.791801	111.653999	4501	8427	817	114760	13	1	4	2	6	1	3	1	5	2	1	0	1	2	5	2	0	12	24	13	14886	16323	26785	23490	27096	6180
915	40.84053	111.642311	4951	8793	862	191281	1	0	1	0	0	0	4	0	3	0	0	0	0	0	0	2	0	2	8	1	15269	22102	39856	32933	44782	36339
901	40.832152	111.649285	5224	8164	729	82160	5	0	6	0	6	1	1	0	3	0	3	0	0	0	4	0	2	10	9	12	11559	12649	18777	14191	19957	5027
1344	40.839699	111.689003	4272	8357	804	132760	40	5	10	0	11	2	2	4	7	2	0	0	0	2	4	3	1	12	55	26	10393	13374	32647	31300	38968	6078
684	40.807098	111.648003	5085	8790	819	178129	25	1	3	0	3	0	8	3	3	1	2	1	0	1	0	1	0	4	41	7	18737	21112	32513	33025	36028	36714
892	40.824525	111.655892	4281	8784	847	202951	59	4	9	0	23	1	7	3	17	2	2	0	0	3	8	1	0	15	88	36	21344	20418	46669	38781	43428	32311
725	40.815399	111.648003	5296	8714	811	147670	33	17	6	1	4	2	4	4	2	2	2	0	0	3	1	1	0	9	45	28	9757	12714	31811	31009	38350	24029
1086	40.810001	111.689003	5557	8330	795	149347	42	6	13	0	7	1	7	4	4	3	2	1	0	2	6	1	2	14	61	26	10608	14190	46963	30559	40656	6371
1545	40.837	111.746013	4226	8492	830	200884	6	3	4	0	1	2	0	1	0	0	4	0	0	0	2	0	1	9	7	8	14124	22594	61302	44907	51102	6855
1304	40.828499	111.695	5309	8795	818	251882	49	10	12	1	19	5	5	3	1	2	1	0	1	3	9	3	4	26	60	42	23558	24302	63150	51813	56890	32169
904	40.827801	111.653999	3856	8452	788	127145	39	2	5	0	16	1	2	3	5	0	2	0	0	1	7	1	2	14	49	23	17537	16879	32574	24398	28871	6886
1668	40.8983	111.838997	5244	8308	903	262324	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5274	5834	106766	48282	61946	34222
763	40.819801	111.648003	4615	8654	764	133116	19	3	3	1	5	1	3	3	1	1	1	0	0	1	2	1	0	6	27	12	9630	12862	31524	29156	29515	20429
1019	40.859249	111.632004	4492	8604	834	182107	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	16570	16656	33503	34638	39237	41503
1245	40.8419	111.675003	4755	8768	819	188699	59	4	8	1	14	1	3	5	5	7	2	1	0	6	4	0	1	14	80	27	12846	14405	38310	43841	45516	33781
605	40.766102	111.667	4017	8787	856	188031	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	15496	22861	40129	31641	37713	40191
599	40.7915	111.639999	3618	8550	813	133741	8	0	6	0	2	0	2	1	2	0	3	0	0	1	0	1	0	5	13	8	16705	23694	28022	21774	34339	9207
633	40.803101	111.637001	3503	8613	821	198408	13	2	8	0	5	0	2	4	7	1	5	0	0	0	3	1	0	9	27	15	31347	36080	43288	34030	41637	12026
1149	40.815899	111.689003	4520	8737	808	162181	33	6	5	0	13	1	5	3	17	3	2	1	1	2	7	1	2	16	62	24	9418	15835	32400	34450	35644	34434
677	40.8032	111.649002	3853	8394	746	123807	31	8	3	0	6	0	6	4	2	3	5	0	0	2	1	3	0	11	46	17	14438	17560	29117	26878	30121	5693
1188	40.808102	111.700996	4610	8544	793	168522	21	2	3	0	5	1	6	2	9	3	0	0	0	3	4	0	1	9	41	10	20052	21663	41180	33060	43082	9485
553	40.775799	111.635002	3434	8784	853	162947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	17258	21293	24496	24179	31544	44177
1106	40.835999	111.665001	4607	8223	809	143364	15	9	10	2	9	1	3	4	5	3	4	0	0	2	5	0	0	12	30	30	9932	14327	50457	26150	37972	4526
690	40.816299	111.639999	4526	8751	782	148913	12	2	5	0	8	2	3	0	4	1	0	0	1	0	2	1	0	6	20	15	15012	15261	23629	27733	36023	31255
631	40.788502	111.651001	3756	8518	814	136564	2	1	1	0	2	1	1	0	0	0	1	0	0	0	0	1	0	3	3	4	14409	23218	31671	26801	32738	7727
935	40.76997	111.714699	3189	8842	846	231262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	23642	26656	43142	39870	47090	50862
548	40.793701	111.614998	2793	8462	814	132674	4	0	2	1	2	0	1	0	0	0	0	0	0	1	0	0	0	1	5	5	13259	22596	31355	26512	31444	7508
1496	40.8755	111.690002	2689	8748	877	187219	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	12534	23626	42024	33739	37060	38236
808	40.852059	111.620455	3956	8757	870	316046	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8708	18543	110795	57107	83309	37584
1263	40.8466	111.671997	4051	8827	834	279832	25	3	0	0	12	1	3	0	2	1	0	0	0	1	3	0	1	6	31	15	33992	23043	62071	48175	58729	53822
698	40.808899	111.649002	4259	8538	781	120713	27	3	7	0	4	0	7	7	3	1	2	1	0	2	0	1	0	5	46	14	10196	9058	22597	28762	30753	19347
1669	40.9016	111.837997	4242	8841	902	335664	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20221	22957	104641	62197	71396	54252
436	40.493649	111.787767	3477	8856	903	381949	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	29575	23308	90284	80109	79431	79242
1671	40.896702	111.845001	4328	8787	869	269989	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	19131	27969	70288	51859	51571	49171
