平均值	32.09722222222222	4.87037037037037	8.185185185185185	0.8611111111111112	11.287037037037036	1.1388888888888888	3.5416666666666665	3.412037037037037	6.046296296296297	2.324074074074074	2.5833333333333335	0.25462962962962965	0.22685185185185186	2.300925925925926	4.180555555555555	1.1018518518518519	0.9166666666666666
SiteId	Latitude	Longitude	UserCount	MinuteCount	URICount	TotalCount	美食	休闲娱乐	购物	结婚	宾馆酒店	旅游景点	教育培育	生活服务	医疗服务	丽人	汽车服务	运动健身	商务服务	机构	金融银行	楼宇小区	交通出行	工作区	生活区	商业区
1047	40.801399	111.693001	17878	8701	4969	699590	23	3	7	0	9	0	3	0	5	0	0	0	0	0	2	0	0	2	31	19
1043	40.803001	111.691002	14145	8681	4370	582868	34	4	11	1	12	0	2	3	4	1	5	0	0	2	2	0	0	9	44	28
1512	40.8357	111.73394	13029	8655	3764	258435	29	5	1	0	4	3	3	1	4	4	1	0	0	1	0	3	1	9	41	10
1098	40.814499	111.685997	12727	8636	3656	278876	31	6	4	1	15	2	4	1	4	3	1	1	0	4	7	0	4	18	44	26
1344	40.839699	111.689003	12420	8611	3630	266569	40	5	10	0	11	2	2	4	7	2	0	0	0	2	4	3	1	12	55	26
684	40.807098	111.648003	12322	8852	3651	321683	25	1	3	0	3	0	8	3	3	1	2	1	0	1	0	1	0	4	41	7
725	40.815399	111.648003	12208	8797	3541	265555	33	17	6	1	4	2	4	4	2	2	2	0	0	3	1	1	0	9	45	28
1086	40.810001	111.689003	12175	8586	3512	247663	42	6	13	0	7	1	7	4	4	3	2	1	0	2	6	1	2	14	61	26
1304	40.828499	111.695	12164	8852	3772	426213	49	10	12	1	19	5	5	3	1	2	1	0	1	3	9	3	4	26	60	42
904	40.827801	111.653999	12125	8646	3637	283070	39	2	5	0	16	1	2	3	5	0	2	0	0	1	7	1	2	14	49	23
1149	40.815899	111.689003	11130	8840	3589	316225	33	6	5	0	13	1	5	3	17	3	2	1	1	2	7	1	2	16	62	24
677	40.8032	111.649002	11116	8624	3522	259412	31	8	3	0	6	0	6	4	2	3	5	0	0	2	1	3	0	11	46	17
1188	40.808102	111.700996	11022	8648	3453	279143	21	2	3	0	5	1	6	2	9	3	0	0	0	3	4	0	1	9	41	10
1106	40.835999	111.665001	10796	8524	3296	263098	15	9	10	2	9	1	3	4	5	3	4	0	0	2	5	0	0	12	30	30
1263	40.8466	111.671997	10102	8862	3827	431628	25	3	0	0	12	1	3	0	2	1	0	0	0	1	3	0	1	6	31	15
698	40.808899	111.649002	10077	8702	3264	240112	27	3	7	0	4	0	7	7	3	1	2	1	0	2	0	1	0	5	46	14
1482	40.83559	111.726733	9889	8606	3263	212700	35	3	9	1	7	1	5	3	7	4	1	0	0	1	7	2	1	13	54	20
1082	40.832401	111.666	9509	8614	3189	224442	36	4	13	0	16	1	1	4	3	1	4	0	0	1	5	0	2	13	45	33
842	40.806198	111.669998	9455	8582	3033	281128	35	10	5	12	6	1	3	2	4	4	4	1	3	6	7	2	2	25	49	33
965	40.829399	111.657997	9261	7449	2604	96762	36	2	7	0	23	2	5	2	4	1	1	0	1	3	8	1	2	18	48	32
1357	40.8298	111.700996	9057	8751	2848	170646	34	9	11	0	14	2	5	8	3	5	0	0	0	4	8	1	3	18	55	34
1425	40.8325	111.712997	9054	8322	2892	134898	48	8	6	1	24	0	2	4	0	4	3	0	2	7	2	2	0	16	58	39
817	40.801601	111.671997	9027	8643	3408	302752	48	4	8	4	13	1	5	3	7	5	3	1	0	4	7	0	1	16	69	29
1351	40.816299	111.713997	8964	8617	3144	250002	47	3	2	2	13	1	4	3	2	3	0	1	0	3	4	1	0	9	60	20
1243	40.843899	111.672997	8863	8668	3345	319357	35	4	1	0	13	1	4	2	7	4	0	0	0	3	4	0	1	9	52	18
1297	40.843399	111.679001	8845	8801	3496	367527	22	4	4	1	14	2	6	5	6	5	3	0	0	5	1	0	0	11	44	23
664	40.792599	111.655998	8623	8618	3319	253182	21	2	6	3	12	1	4	2	7	2	2	0	1	2	5	2	1	14	36	23
1065	40.809399	111.686996	8588	8214	3028	219339	36	4	14	0	10	1	7	6	6	3	2	1	0	2	7	1	3	16	59	28
1459	40.83415	111.721478	8517	8322	3036	156107	35	4	6	0	12	0	3	2	6	3	2	0	0	1	6	1	0	10	49	22
674	40.805199	111.646004	8282	8862	3961	598150	21	4	4	0	4	0	7	3	4	0	3	0	0	0	3	2	0	8	35	12
791	40.823482	111.647603	8046	8645	2596	153529	33	1	8	1	13	1	2	4	3	0	2	0	0	1	1	1	2	8	42	23
1313	40.835098	111.690002	7864	8152	2590	127698	23	4	19	0	13	1	1	10	6	2	7	0	1	0	1	1	1	12	42	36
1332	40.844398	111.682999	7456	8833	3310	269663	18	4	6	1	8	2	5	5	3	4	4	0	0	6	1	0	0	13	35	19
980	40.802502	111.685997	7452	8678	3808	415094	47	5	20	0	12	1	1	6	11	1	7	0	0	2	8	2	1	21	66	37
1428	40.825001	111.721001	7412	8629	3011	257425	20	5	5	0	10	2	9	1	3	1	1	0	1	2	3	1	0	10	34	20
1300	40.8391	111.683998	7388	8601	2881	178301	29	2	7	0	12	0	2	6	2	1	2	0	0	1	0	2	0	5	40	21
876	40.798302	111.68	7197	8427	2482	132505	46	6	19	0	8	1	1	4	7	1	2	0	1	2	10	2	1	19	59	33
1382	40.8344	111.700996	7184	8112	3552	280704	18	6	11	0	10	2	3	6	5	3	4	0	0	1	2	1	3	13	35	27
794	40.823508	111.647933	7102	8346	2217	84199	48	2	11	1	15	1	4	4	5	0	3	0	0	1	3	1	2	11	61	29
1235	40.809101	111.707001	7050	8500	3037	258395	30	3	2	2	6	1	1	2	6	1	0	0	0	4	3	1	1	10	40	13
1273	40.811199	111.708	7027	8607	3005	221086	37	5	4	2	10	1	1	2	6	2	0	0	0	4	6	2	1	14	48	21
1405	40.815201	111.724998	6931	8842	3317	286623	29	2	2	0	5	2	4	0	3	1	2	0	0	1	2	2	0	9	37	9
1452	40.830299	111.723999	6919	8683	3787	404128	38	4	4	0	7	0	5	2	5	1	3	0	0	1	7	0	0	11	51	15
1012	40.803902	111.686996	6812	8159	2880	212432	46	3	13	0	13	1	1	4	9	1	6	0	0	1	5	1	1	15	61	29
837	40.807924	111.667238	6658	7952	2544	126496	40	14	18	14	11	2	2	1	27	3	2	2	0	7	5	2	2	20	75	57
662	40.800301	111.648003	6497	8338	2506	131572	23	4	6	0	3	0	2	3	2	1	6	0	0	0	0	2	0	8	31	13
1175	40.803001	111.704002	6479	8499	3074	238970	18	0	6	0	12	0	2	1	3	1	1	1	0	0	5	0	0	6	26	18
1237	40.8391	111.677162	6424	8225	2322	127646	41	2	7	0	12	1	3	3	6	5	2	0	0	5	1	0	0	9	58	21
1144	40.801102	111.703003	6403	8197	2835	161525	26	2	7	0	14	0	0	2	6	2	1	1	0	1	10	0	0	12	37	23
1121	40.8134	111.689003	6362	8667	3021	228979	38	7	8	0	14	1	8	3	7	4	1	1	0	3	8	0	3	16	61	29
1438	40.827801	111.720001	6152	8670	3519	340465	28	4	5	0	10	2	7	1	4	1	2	0	1	2	3	1	0	11	41	19
661	40.7892	111.658997	5992	8645	3142	252826	18	3	5	3	13	1	4	3	6	3	2	0	1	3	4	1	1	13	34	24
687	40.795799	111.660004	5979	8481	2545	138024	37	6	15	2	21	0	7	6	9	5	1	0	1	4	7	1	1	15	64	44
1212	40.834702	111.678001	5974	8328	2545	126169	52	3	9	0	13	0	2	2	4	1	12	0	0	2	1	1	0	16	61	25
1434	40.832001	111.714996	5956	6993	1951	65973	18	2	5	0	13	0	3	3	0	0	4	0	1	0	2	2	0	9	24	20
1346	40.8438	111.684998	5942	8376	2576	172014	23	4	7	1	7	2	5	4	3	3	5	0	0	5	2	2	0	16	38	19
1176	40.839199	111.667999	5907	8595	2924	188271	45	11	9	2	9	1	11	1	5	4	2	1	0	4	5	0	1	13	67	31
1445	40.834783	111.717001	5800	8663	3329	266837	20	5	4	0	9	0	4	2	0	0	4	0	0	0	4	2	0	10	26	18
734	40.820099	111.643997	5721	8823	2861	222616	18	3	6	1	8	1	5	1	4	1	1	0	0	1	1	0	1	5	29	18
1530	40.838001	111.737999	5688	7828	2178	87803	23	6	1	0	4	3	1	0	1	3	2	0	0	1	0	1	0	7	28	11
942	40.798	111.686996	5386	8558	2908	201690	29	4	9	0	7	0	0	2	8	0	4	0	0	1	6	1	0	12	39	20
1141	40.813801	111.690002	5341	8763	2752	199099	42	6	12	0	18	1	8	2	16	4	1	1	0	3	7	0	3	15	73	36
1353	40.8274	111.703003	5246	8757	2568	172957	28	8	5	0	9	2	4	2	0	4	1	0	0	5	9	1	1	19	38	22
1122	40.800855	111.701638	5190	8032	2584	136040	28	2	7	0	14	0	0	2	6	2	1	1	0	1	10	0	0	12	39	23
1073	40.813202	111.683998	4845	7763	3047	265730	33	6	6	1	14	1	3	2	8	6	1	1	0	6	7	0	2	17	53	27
1139	40.797798	111.706001	4780	8784	2763	218781	22	1	5	0	14	0	2	2	33	1	1	1	0	0	9	1	0	11	61	20
1373	40.844101	111.689003	4682	8814	3158	277363	31	3	8	0	12	1	4	1	6	1	4	0	0	2	7	0	0	14	43	23
732	40.7938	111.669998	4676	8485	2294	138884	44	3	17	0	23	0	4	7	8	1	7	0	0	1	3	2	0	13	64	43
760	40.823673	111.643997	4668	8720	2331	124107	22	2	7	0	10	1	3	3	4	0	1	0	0	0	1	1	2	6	32	19
1225	40.832001	111.681999	4664	8208	2162	86892	41	5	10	0	10	0	2	10	11	2	16	1	0	2	4	2	0	24	67	25
682	40.791401	111.663002	4623	8528	2374	123484	27	4	8	3	17	0	5	5	7	3	1	0	1	3	5	1	1	12	47	32
730	40.814701	111.649002	4550	8167	1892	76361	34	16	7	0	3	2	4	5	2	2	2	1	0	2	1	1	0	8	48	26
1483	40.8344	111.727997	4539	6178	2069	98103	36	4	8	1	6	1	5	3	7	5	1	0	0	2	7	2	1	14	56	19
694	40.801102	111.655998	4522	8491	2256	113895	31	10	11	1	12	0	1	2	3	4	1	0	0	4	2	2	0	9	41	34
806	40.825401	111.647003	4399	8476	2333	164532	29	1	12	0	13	1	2	4	5	0	2	0	0	0	1	1	2	7	40	26
636	40.806499	111.634003	4380	8624	2663	187535	20	1	5	0	8	0	0	1	6	1	1	0	0	1	0	2	0	4	28	14
1059	40.797798	111.697998	4303	8766	2733	205560	29	1	6	0	8	0	0	2	7	3	3	1	0	2	12	0	0	17	42	15
1288	40.8442	111.677002	4228	4839	2437	186342	25	4	3	1	12	2	5	5	6	6	2	0	0	6	2	0	0	12	47	20
1339	40.832001	111.695999	4027	8526	2084	98012	24	4	17	0	11	2	5	4	3	1	3	0	0	1	2	1	3	12	37	32
696	40.799801	111.657997	3934	8368	2164	100509	32	7	14	2	10	1	3	5	4	3	2	0	0	2	3	2	1	11	47	33
1389	40.814899	111.722	3775	8452	2202	110478	39	1	2	1	8	2	4	4	3	3	2	1	0	3	3	3	0	13	54	12
700	40.799	111.658997	3551	8043	1797	74772	38	6	13	2	11	1	4	6	5	2	1	0	0	2	4	2	1	11	55	32
1312	40.8419	111.682999	3500	8706	2248	128106	27	4	4	1	12	2	6	5	4	3	4	0	0	4	1	2	0	13	45	21
